objID,specobjID,z,zErr,petroMag_u,petroMagErr_u,extinction_u,petroMag_g,petroMagErr_g,extinction_g,petroMag_r,petroMagErr_r,extinction_r,petroMag_i,petroMagErr_i,extinction_i,petroMag_z,petroMagErr_z,extinction_z
587730845812064684,276352159858032640,0.165085,0,21.034536,0.545784,0.556124,18.816448,0.035066,0.409191,17.520975,0.015088,0.296779,16.988565,0.014665,0.225039,16.662123,0.037173,0.159555
587730845812064821,276352159912558592,0.125693,0,20.095562,0.317116,0.571477,18.560295,0.041545,0.420487,17.882191,0.021797,0.304972,17.53858,0.168508,0.231251,17.578926,0.11463,0.16396
587730845812065133,276352160076136448,0.148774,0,21.40172,0.798369,0.528399,19.105864,0.048628,0.388791,17.977161,0.023508,0.281983,17.541346,0.027349,0.21382,17.144922,0.06117,0.151601
587730845812065247,276352160067747840,0.096304,0,19.393547,0.191778,0.552954,18.174877,0.030587,0.406858,17.494215,0.01781,0.295087,17.206738,0.026099,0.223756,17.160145,0.09074,0.158646
587730845812195591,276352159908364288,0.253383,0,21.733114,1.321716,0.558187,19.550076,0.088288,0.410709,17.805239,0.024438,0.29788,17.21986,0.030394,0.225874,16.909082,0.062318,0.160147
587730845812196092,276352159879004160,0.096063,0,18.007383,0.065983,0.571669,16.755947,0.010839,0.420628,16.113245,0.007809674,0.305075,15.771023,0.008869752,0.231329,15.569551,0.026452,0.164015
587730845812196825,276352159690260480,0.031145,0,18.81353,0.134167,0.476144,17.911488,0.03093,0.350343,17.315346,0.020673,0.254098,17.049074,0.025896,0.192675,16.89497,0.082973,0.136609
587730845812524122,276352159233081344,0.129105,0,20.521202,0.404985,0.337381,18.423767,0.028935,0.248242,17.365891,0.014109,0.180046,16.920332,0.015092,0.136523,16.619858,0.042054,0.096797
587730845812654984,276352159019171840,0.14292,0,19.429661,0.175926,0.325547,18.372587,0.031887,0.239535,17.516071,0.017835,0.173731,17.137243,0.02054,0.131735,16.809277,0.05631,0.093401
587730845812655541,276352159090475008,0.136413,0,19.487154,0.198784,0.319552,18.368221,0.035387,0.235123,17.547018,0.028939,0.170531,17.176643,0.04262,0.129308,16.838667,0.072694,0.091681
587730845812720365,276633768167473152,0.136485,0,20.624893,0.295023,0.315271,18.481869,0.021668,0.231973,17.436569,0.012135,0.168246,16.993761,0.011354,0.127576,16.647863,0.028193,0.090453
587730845812720699,276633768163278848,0.190156,0,19.031645,0.090071,0.338358,18.013227,0.017733,0.24896,17.48572,0.011652,0.180567,17.257717,0.01856,0.136918,17.090637,0.056696,0.097077
587730845812785849,276633768205221888,0.172301,0,19.621399,0.133255,0.324124,18.585146,0.025205,0.238487,17.837389,0.016174,0.172971,17.496729,0.021884,0.131159,17.258965,0.056194,0.092993
587730845812851385,276633767982923776,0.136558,0,20.249302,0.293943,0.324585,18.373911,0.026562,0.238827,17.348232,0.019488,0.173217,16.959051,0.015296,0.131345,16.547417,0.035853,0.093125
587730845812916991,276633768054226944,0.056436,0,19.689226,0.201752,0.369637,18.318184,0.029959,0.271976,17.642666,0.01806,0.19726,17.363531,0.030004,0.149576,17.162199,0.072647,0.106051
587730845812982508,276633767999700992,0.056414,0,19.217127,0.218243,0.375847,18.147135,0.041413,0.276545,17.839695,0.024896,0.200573,18.048771,0.074661,0.152089,17.801104,0.216866,0.107833
587730845812982517,276633768037449728,0.105519,0,19.385469,0.251862,0.366557,17.447962,0.020762,0.269709,16.459311,0.007577265,0.195615,16.044249,0.011679,0.148329,15.668018,0.030257,0.105167
587730845812983044,276633767831928832,0.197955,0,20.124895,0.318663,0.384251,18.657179,0.0402,0.282728,17.929171,0.017217,0.205058,17.560549,0.029672,0.155489,17.421383,0.095695,0.110244
587730845813048083,276633767869677568,0.10492,0,19.724268,0.182107,0.400036,18.640312,0.041744,0.294342,17.677938,0.029854,0.213482,17.341639,0.067805,0.161877,17.008181,0.075003,0.114773
587730845813048179,276633767840317440,0.230761,0,22.014734,1.163954,0.342059,19.156683,0.047448,0.251684,17.754812,0.035855,0.182542,17.290916,0.042918,0.138416,16.862225,0.043065,0.098139
587730845813113564,276633767714488320,0.057168,0,18.575212,0.082694,0.383209,17.250744,0.016052,0.281962,16.618374,0.012655,0.204502,16.241791,0.010342,0.155068,15.984741,0.028731,0.109945
587730845813113722,276633767668350976,0.126885,0,20.219248,0.307903,0.369643,18.551687,0.031658,0.27198,17.742603,0.01481,0.197262,17.343216,0.020998,0.149578,16.909796,0.051155,0.106053
587730845813178803,276633767332806656,0.054358,0,19.791637,0.149914,0.395888,18.336914,0.025877,0.29129,17.437738,0.018857,0.211268,17.053885,0.015166,0.160198,16.684671,0.031703,0.113582
587730845813243927,276633767362166784,0.056272,0,18.052626,0.058422,0.363995,16.51581,0.012807,0.267824,15.772843,0.01432,0.194248,15.388378,0.012239,0.147293,15.124823,0.014583,0.104432
587730845813243962,276633767307640832,0.151743,0,20.830423,0.325096,0.379241,18.880091,0.034827,0.279042,17.723843,0.01949,0.202384,17.255581,0.017894,0.153462,16.885759,0.033704,0.108806
587730845813244044,276633767378944000,0.164765,0,20.186821,0.293198,0.354898,18.618303,0.036597,0.261131,17.566242,0.018801,0.189394,17.059605,0.017758,0.143612,16.846386,0.053601,0.101822
587730845813244233,276633767311835136,0.136158,0,20.363047,0.182538,0.382149,18.862228,0.521455,0.281181,17.917671,0.489151,0.203936,17.506943,0.242269,0.154639,17.123718,0.210451,0.109641
587730845813244354,276633767320223744,0.056409,0,17.615152,0.053554,0.364735,15.938505,0.016338,0.268369,15.094536,0.015443,0.194643,14.662742,0.013263,0.147592,14.32556,0.016061,0.104645
587730845813244869,276633767328612352,0.17429,0,20.442217,0.456017,0.375201,18.290257,0.031595,0.276069,17.041983,0.015667,0.200228,16.537666,0.016916,0.151827,16.150778,0.034456,0.107647
587730845813244944,276633767194394624,0.129759,0,20.091644,0.397991,0.373272,18.145481,0.0388,0.27465,17.274078,0.019381,0.199199,16.950243,0.028621,0.151047,16.851543,0.07963,0.107094
587730845813245058,276633767177617408,0.058048,0,19.742561,0.160333,0.37156,17.77528,0.014065,0.27339,16.800621,0.00909881,0.198285,16.349257,0.009108654,0.150354,16.032427,0.020486,0.106603
587730845813245310,276633767206977536,0.150493,0,20.277922,0.359222,0.381272,18.837168,0.048119,0.280536,17.811304,0.024706,0.203468,17.375225,0.025964,0.154284,17.066895,0.075662,0.109389
587730845813310167,276633767211171840,0.129803,0,19.367907,0.145769,0.391448,18.042273,0.021051,0.288024,17.397943,0.011178,0.208899,17.048361,0.017486,0.158402,16.824907,0.051439,0.112309
587730845813310172,276633767165034496,0.200061,0,20.313917,0.360869,0.392433,18.383039,0.0295,0.288749,17.465845,0.016288,0.209425,17.005121,0.016841,0.1588,16.642086,0.044398,0.112591
587730845813310225,276633767160840192,0.055225,0,19.143917,0.253928,0.397103,17.538141,0.030273,0.292185,16.977667,0.020285,0.211917,16.893744,0.032862,0.16069,16.682341,0.09354,0.113931
587730845813310436,276633767219560448,0.054522,0,19.777746,0.385554,0.415129,17.936472,0.08378,0.305448,17.374798,0.086707,0.221536,17.181896,0.126469,0.167984,17.06233,0.156638,0.119103
587730845813310771,276633767173423104,0.219764,0,21.000746,0.738765,0.419245,19.211712,0.068733,0.308477,17.746202,0.023945,0.223733,17.286585,0.02492,0.16965,16.780161,0.057918,0.120284
587730845813375369,276633767001456640,0.137619,0,20.914433,0.42819,0.39093,19.029766,0.037084,0.287643,17.831785,0.016748,0.208623,17.363043,0.017078,0.158192,17.089039,0.047226,0.11216
587730845813375884,276633767215366144,0.225981,0,23.276943,4.022299,0.395053,19.036488,0.043463,0.290676,17.625336,0.019674,0.210823,17.052776,0.01968,0.15986,16.739414,0.040032,0.113343
587730845813376023,276633767047593984,0.073014,0,18.553596,0.082064,0.365956,17.42799,0.016514,0.269267,16.976238,0.01352,0.195295,16.688879,0.016438,0.148086,16.522593,0.045055,0.104995
587730845813440638,276633766997262336,0.084209,0,19.700476,0.196396,0.35756,17.913712,0.241589,0.263089,16.892042,0.182172,0.190814,16.498077,0.154587,0.144689,16.105297,0.102738,0.102586
587730845813441147,276915144292827136,0.09676,0,24.027689,8.659244,0.373205,18.518444,0.035157,0.274601,17.460917,0.011464,0.199163,17.178905,0.020952,0.15102,16.844021,0.056859,0.107075
