CID,IAUName,SN_ra,SN_dec,SN_z,objID,host_ra,host_dec,Classification
SN15756,2006nf,0.374833330,0.275972222,0.380,587731186740953504,0.375757370,0.275477900,SNIa
SN722,2005ed,0.705708329,0.751222222,0.086,587731187277955214,0.705968070,0.751859220,SNIa
SN133,2004ig,1.465791670,-0.995861111,0.183,587731185130799257,1.466580140,-0.996327550,SNIa
SN19,2004id,1.623458330,-0.472888889,0.151,587731185667735631,1.624230610,-0.473868710,SNIa
SN13894,2006jh,1.690625000,-0.036750000,0.121,587731186204672392,1.690594660,-0.036773220,SNIa
SN5588,2005hw,2.368624997,1.154944444,0.410,587731187815547413,2.368283480,1.154459350,SNIa
SN14481,2006lj,2.681749996,0.201305556,0.255,588015509270560890,2.681462990,0.201853480,SNIa
SN15222,2006jz,2.853374998,0.702750000,0.199,587731187278872773,2.852402220,0.702024500,SNIa
SN17745,2007ju,2.960249996,-0.339194445,0.060,588015508733821187,2.960271440,-0.339358680,SNIa
SN17253,2007jq,2.994208336,0.998138889,0.156,588015510344433745,2.993470250,0.997587100,SNIa
SN18721,2007mu,3.077333331,-0.077305555,0.393,587731186205262343,3.077748890,-0.077668000,SNIa
SN16072,2006nv,3.124458337,-0.977305555,0.277,587731185131520512,3.124561250,-0.977829830,SNIa
SN5549,2005hx,3.250541667,0.248222222,0.121,587731186742198856,3.249869190,0.248563470,SNIa
SN6249,2005ii,3.265541667,-0.620111111,0.294,587731185668457004,3.265594660,-0.620260570,SNIa
SN11206,2005mm,3.289791667,1.145527778,0.382,587731187815940722,3.289836380,1.145721840,SNIa
SN18323,2007kx,3.428624996,0.652166667,0.155,587731187279135513,3.428657810,0.652353430,SNIa
SN5550,2005hy,3.598291667,0.333055556,0.156,587731186742330027,3.598455480,0.333232470,SNIa
SN13689,INDET,4.016125000,0.807555556,0.252,587731187279397066,4.015254970,0.808363020,SNIa
SN13135,2006fz,4.172291660,-0.424527778,0.105,587731185668849933,4.174373530,-0.425159940,SNIa
SN17500,2007lf,4.189416663,1.200888889,0.044,587731187816333456,4.192908570,1.210301260,SNIa
SN18030,2007kq,4.932958333,-0.400138889,0.156,588015508734673056,4.933219250,-0.400101640,SNIa
SN12781,2006er,5.406583341,-1.009972223,0.084,587731185132568670,5.407881220,-1.010615520,SNIa
SN20625,2007px,5.683374993,-0.479000000,0.108,587731185669505187,5.683142150,-0.479400370,SNIa
SN18751,2007ly,5.722374996,0.775972222,0.071,587731187280183456,5.722435340,0.775935110,SNIa
SN16206,2006pe,5.788208334,-0.053638889,0.152,587731186206441715,5.788312170,-0.053570630,SNIa
SN13835,2006hp,6.059625002,-0.248250000,0.248,588015508735131878,6.059367400,-0.249251890,SNIa
SN13136,2006go,6.140666660,-0.279055555,0.366,588015508735197519,6.140217010,-0.279560590,SNIa
SN17809,2007kr,6.364583333,-0.839583333,0.282,587731185132962125,6.364948520,-0.839335230,SNIa
SN12971,2006ff,6.648499997,-0.302083333,0.235,588015508735393931,6.647618220,-0.303293440,SNIa
SN11300,2005ln,6.750500000,-0.586611111,0.147,587731185670029560,6.751151200,-0.586620050,SNIa
SN15354,2006lp,6.773666666,-0.125972222,0.222,587731186206900433,6.774281220,-0.125975230,SNIa
SN2330,2005fp,6.807125000,1.120611111,0.213,587731187817513349,6.807333930,1.120842170,SNIa
SN14397,2006kk,6.916083336,0.649500000,0.371,587731187280707823,6.915597280,0.649293360,SNIa
SN8151,2005hk,6.962000004,-1.198138889,0.013,588015507661783172,6.957240600,-1.199990980,SNIa
SN21510,2007sh,7.352791667,0.831500000,0.150,587731187280904264,7.352357640,0.831109650,SNIa
SN14846,2006jn,7.663250001,0.141583334,0.225,588015509272723580,7.662617550,0.142002880,SNIa
SN8719,2005kp,7.721499999,-0.718861111,0.118,588015508198981925,7.721808660,-0.718688220,SNIa
SN14331,2006kl,7.888666662,-0.135805555,0.214,587731186207359625,7.889097590,-0.135519550,SNIa
SN16748,2006sx,7.951333332,-0.513944445,0.221,587731185670553608,7.950835560,-0.514281310,SNIa
SN16073,2006of,8.107750003,-1.054000000,0.146,588015507662307560,8.107653430,-1.053926400,SNIa
SN16637,INDET,8.176000007,-0.318444444,0.243,588015508736049261,8.175641660,-0.318829800,SNIa
SN18325,2007mv,8.905750004,0.370027778,0.255,587731186744688827,8.906866650,0.369510260,SNIa
SN1166,INDET,9.355666669,0.973277778,0.382,588015510347186692,9.355294050,0.973950750,SNIa
SN17220,2007ji,9.701541662,-0.179250000,0.172,587731186208145614,9.701368300,-0.179263910,SNIa
SN20039,2007qh,9.878625003,1.024333333,0.247,588015510347448516,9.879424670,1.023695670,SNIa
SN18940,2007sb,10.348958333,0.411944444,0.220,587731186745344333,10.348689410,0.411791340,SNIa
SN18697,2007ma,11.223958333,-0.997055556,0.107,587731185135059159,11.224201040,-0.996858380,SNIa
SN18375,2007lg,11.516416667,-0.010388889,0.108,587731186208931965,11.516397130,-0.010682250,SNIa
SN12979,2006gf,11.601458335,0.003472222,0.116,588015509274427469,11.600858610,0.002377830,SNIa
SN21669,2007rs,11.614166665,-1.062277778,0.124,588015507663814778,11.613515050,-1.060938220,SNIa
SN5751,2005hz,11.634166670,0.838222222,0.131,587731187282739426,11.634364070,0.838170770,SNIa
SN15897,2006pb,11.681458330,-1.032916667,0.170,587731185135255834,11.681598580,-1.032499040,SNIa
SN18612,2007lc,12.287916668,0.596944444,0.115,588015509811626061,12.288021720,0.596607620,SNIa
SN18749,2007mb,12.547333332,0.675416667,0.188,587731187283132548,12.546583880,0.675712120,SNIa
SN20088,INDET,13.205208333,0.631500000,0.245,587731187283460245,13.205363430,0.631534620,SNIa
SN18965,2007ne,13.509125000,1.069027778,0.206,587731187820462215,13.509206030,1.068904920,SNIa
SN12977,2006gh,13.695625003,-0.250861111,0.247,588015508738474408,13.695648190,-0.251026240,SNIa
SN16021,2006nc,13.843750000,-0.388805556,0.124,588015508738540017,13.843848620,-0.389224860,SNIa
SN16280,2006nz,14.121708330,-1.226694444,0.038,588015507664928990,14.121714620,-1.226755380,SNIa
SN739,2005ef,14.595333330,0.679055555,0.108,587731187284050018,14.595832060,0.679409640,SNIa
SN3901,2005ho,14.850416668,0.002583333,0.063,588015509275869191,14.850467570,0.002638930,SNIa
SN15433,2006mt,14.879625003,-0.256500000,0.221,588015508738998440,14.879389160,-0.256727840,SNIa
SN20834,2007rr,15.449166663,-0.693638888,0.188,588015508202389695,15.448909810,-0.693555050,SNIa
SN762,2005eg,15.535333331,-0.878972222,0.191,587731511530619026,15.536063670,-0.879669390,SNIa
SN15203,2006jy,15.734708341,0.183083333,0.216,588015509276262833,15.734773170,0.183020050,SNIa
SN19341,2007nf,15.860291664,0.331388889,0.228,587731513141362902,15.860848050,0.331601890,SNIa
SN11650,2005mp,16.190333335,0.055611111,0.273,588015509276459168,16.189650940,0.055782290,SNIa
SN5966,2005it,16.190374994,0.513916666,0.310,588015509813330077,16.190567230,0.513270600,SNIa
SN18890,2007mm,16.444458326,-0.758833333,0.067,588015508202848375,16.443391700,-0.759491760,SNIa
SN12983,2006gl,16.458791669,0.144805555,0.265,588015509276590344,16.458287200,0.145374110,SNIa
