# log_age,stellar_mass,formed_mass,SDSS_u,SDSS_g,SDSS_r
5.500000000000000000e+00,9.980273276259058468e-01,1.000000000000000000e+00,2.000902392987526923e-01,5.430995522500623451e-01,1.042284675622063617e+00
5.549999999999999822e+00,9.978517499213641617e-01,1.000000000000000000e+00,1.924775255283179831e-01,5.357294655502826686e-01,1.034954082016568577e+00
5.599999999999999645e+00,9.973242035800531369e-01,1.000000000000000000e+00,1.905046947352460052e-01,5.334670325132648827e-01,1.032526987340801838e+00
5.650000000000000355e+00,9.968157558610796221e-01,1.000000000000000000e+00,1.868382913245625332e-01,5.296174037234706589e-01,1.028511632397389519e+00
5.700000000000000178e+00,9.965790436396478880e-01,1.000000000000000000e+00,1.758690307879362535e-01,5.190205432277608111e-01,1.017880504657384222e+00
5.750000000000000000e+00,9.959895620253306214e-01,1.000000000000000000e+00,1.709184756482002854e-01,5.138878736865777341e-01,1.012509522848759502e+00
5.799999999999999822e+00,9.957209226933464441e-01,1.000000000000000000e+00,1.568696139858900551e-01,5.003359048068674042e-01,9.988894649064690157e-01
5.849999999999999645e+00,9.953957262168390274e-01,1.000000000000000000e+00,1.417207466216225953e-01,4.856791517154306348e-01,9.841324420161896569e-01
5.900000000000000355e+00,9.947347331485129063e-01,1.000000000000000000e+00,1.320759833011138085e-01,4.760244759161480488e-01,9.742615560228244931e-01
5.950000000000000178e+00,9.943146580725911177e-01,1.000000000000000000e+00,1.122263420536455669e-01,4.568333104387392041e-01,9.550182388448291704e-01
6.000000000000000000e+00,9.934721910040196224e-01,1.000000000000000000e+00,9.773023747169418129e-02,4.424020335528595638e-01,9.404573145579959714e-01
6.049999999999999822e+00,9.928975464942164653e-01,1.000000000000000000e+00,7.098434309226320238e-02,4.164533818652813579e-01,9.148158300523050457e-01
6.099999999999999645e+00,9.922316886861833884e-01,1.000000000000000000e+00,4.005158618850401808e-02,3.863876345700987258e-01,8.852395570072388864e-01
6.150000000000000355e+00,9.913783067086200385e-01,1.000000000000000000e+00,3.175070086705034100e-03,3.503730304505978665e-01,8.495784843280915766e-01
6.200000000000000178e+00,9.902801985686440212e-01,1.000000000000000000e+00,-4.111382246893668935e-02,3.066779093576030846e-01,8.054765317555521165e-01
6.250000000000000000e+00,9.887906882361602312e-01,1.000000000000000000e+00,-9.972761451425071755e-02,2.481263335314096707e-01,7.449363184888966316e-01
6.299999999999999822e+00,9.869019810053614172e-01,1.000000000000000000e+00,-2.043337123623558682e-01,1.422115206274980892e-01,6.358808388014765001e-01
6.349999999999999645e+00,9.843717224672728916e-01,1.000000000000000000e+00,-3.285093716442588629e-01,1.467587699917061173e-02,5.020404863288590036e-01
6.400000000000000355e+00,9.809783017070302646e-01,1.000000000000000000e+00,-3.895632539449032095e-01,-4.922188793986492783e-02,4.302208931951554405e-01
6.450000000000000178e+00,9.772908053146089902e-01,1.000000000000000000e+00,-5.666145420818793355e-01,-2.360286721917645991e-01,2.348640143543860859e-01
6.500000000000000000e+00,9.727911074874350250e-01,1.000000000000000000e+00,-6.124623132976552142e-01,-3.118084022448641690e-01,1.550556488093519647e-01
6.549999999999999822e+00,9.683570093893073549e-01,1.000000000000000000e+00,-4.799833066338088372e-01,-3.114524943641541199e-01,9.034040693173039926e-02
6.599999999999999645e+00,9.580449912406315827e-01,1.000000000000000000e+00,-5.286389342213482223e-01,-3.995711706754718762e-01,1.792996834976179343e-02
6.650000000000000355e+00,9.549528900705963608e-01,1.000000000000000000e+00,-3.285066528091107330e-01,-2.873045290503881688e-01,9.937576312378837429e-02
6.700000000000000178e+00,9.525699157796103655e-01,1.000000000000000000e+00,-9.508334021469977415e-02,4.403647518988407228e-02,4.237586083746762711e-01
6.750000000000000000e+00,9.437428647085145395e-01,1.000000000000000000e+00,-6.019079266255999983e-02,-9.898756718961010392e-02,1.616113459106287564e-01
6.799999999999999822e+00,9.338137231296456120e-01,1.000000000000000000e+00,2.984611534370174013e-02,-1.281331716806235477e-01,5.675413587398736581e-02
6.849999999999999645e+00,9.254300130650696676e-01,1.000000000000000000e+00,2.301274807868551875e-01,-1.400237339834049521e-01,-4.340568269284972303e-03
6.900000000000000355e+00,9.166496530330169312e-01,1.000000000000000000e+00,5.813818477930041695e-01,2.545555812482049873e-01,1.040187209219638476e-01
6.950000000000000178e+00,9.080314183800213268e-01,1.000000000000000000e+00,8.777201284140971893e-01,8.377926849345129767e-01,6.494364849129539152e-01
7.000000000000000000e+00,9.000864045087197951e-01,1.000000000000000000e+00,9.923478712832718429e-01,9.153391049749330932e-01,8.181188364182432338e-01
7.049999999999999822e+00,8.923663230740268570e-01,1.000000000000000000e+00,1.111019448949008392e+00,9.590566422192168261e-01,9.211136980764536020e-01
7.099999999999999645e+00,8.845168526357427563e-01,1.000000000000000000e+00,1.249769191896518805e+00,1.040325859453396617e+00,1.074795595279979921e+00
7.150000000000000355e+00,8.771286085909447694e-01,1.000000000000000000e+00,1.398443534807981337e+00,1.212068888274764333e+00,1.257356144465276770e+00
7.200000000000000178e+00,8.703326464438174703e-01,1.000000000000000000e+00,1.547416753794905731e+00,1.360960791218005284e+00,1.378937057343271988e+00
7.250000000000000000e+00,8.633352914379338605e-01,1.000000000000000000e+00,1.705769109644329262e+00,1.534490959016828526e+00,1.539088984454174636e+00
7.299999999999999822e+00,8.566296965775901384e-01,1.000000000000000000e+00,1.824459642795815739e+00,1.656233239845789740e+00,1.695916427552475625e+00
7.349999999999999645e+00,8.505010161287783754e-01,1.000000000000000000e+00,1.936051253400258076e+00,1.730859387790488313e+00,1.764896235893445464e+00
7.400000000000000355e+00,8.442195086822723571e-01,1.000000000000000000e+00,2.051900215109526471e+00,1.810247350359112772e+00,1.839695284321166469e+00
7.450000000000000178e+00,8.378620496139681517e-01,1.000000000000000000e+00,2.177614185327144014e+00,1.897842192565825314e+00,1.922127298125900552e+00
7.500000000000000000e+00,8.315060124567246191e-01,1.000000000000000000e+00,2.300241397450292880e+00,2.005317539002362537e+00,2.065123594284919761e+00
7.549999999999999822e+00,8.261391034743461592e-01,1.000000000000000000e+00,2.385682344095677365e+00,2.042079529796424708e+00,2.102216832975820182e+00
7.599999999999999645e+00,8.206743309045214652e-01,1.000000000000000000e+00,2.471302404735396863e+00,2.081955103762439308e+00,2.142634850953186287e+00
7.650000000000000355e+00,8.151228077265030292e-01,1.000000000000000000e+00,2.558504324597677737e+00,2.127112255037729938e+00,2.192665038035144676e+00
7.700000000000000178e+00,8.094438120411775461e-01,1.000000000000000000e+00,2.646687422795146460e+00,2.175336184036154918e+00,2.249017831415699220e+00
7.750000000000000000e+00,8.037810918029719698e-01,1.000000000000000000e+00,2.747287797703918955e+00,2.243668118463489236e+00,2.314490580574450007e+00
7.799999999999999822e+00,7.980705121047094730e-01,1.000000000000000000e+00,2.864900075509034139e+00,2.342008927374806149e+00,2.389627808931010122e+00
7.849999999999999645e+00,7.922969669742317977e-01,1.000000000000000000e+00,2.984287978104227079e+00,2.436701717915738641e+00,2.468772673069288714e+00
7.900000000000000355e+00,7.864642129683068195e-01,1.000000000000000000e+00,3.112276059722042021e+00,2.546305444093171388e+00,2.574640469687189182e+00
7.950000000000000178e+00,7.809077603381664456e-01,1.000000000000000000e+00,3.225473972697329827e+00,2.625506459082380672e+00,2.645750341337219425e+00
8.000000000000000000e+00,7.753632392989592281e-01,1.000000000000000000e+00,3.345485979373322039e+00,2.707268185371745517e+00,2.720839312876925931e+00
8.050000000000000711e+00,7.697671433172993405e-01,1.000000000000000000e+00,3.469395409477598946e+00,2.790948994184525134e+00,2.800646533967970697e+00
8.099999999999999645e+00,7.641659879723491366e-01,1.000000000000000000e+00,3.599568662789685902e+00,2.881866220098558529e+00,2.893921508341222193e+00
8.150000000000000355e+00,7.574705787318268824e-01,1.000000000000000000e+00,3.728007670731592782e+00,2.967188755754179397e+00,2.976834237212791834e+00
8.199999999999999289e+00,7.507164439507552078e-01,1.000000000000000000e+00,3.862136831507349655e+00,3.060047774549630617e+00,3.071717296834684419e+00
8.250000000000000000e+00,7.442703545567742607e-01,1.000000000000000000e+00,3.998404659548128848e+00,3.147195903815173779e+00,3.153594860232971087e+00
