# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,SDSS_u,SDSS_g,SDSS_r
5.500000000000000000e+00,2.278412911918142101e-14,3.595475362484412656e-09,3.602582076622372519e-09,2.130855552927685892e+01,2.165156484222816857e+01,2.215074996560017695e+01
5.549999999999999822e+00,2.556396673533378612e-14,4.526402964309196941e-09,4.535352961082518457e-09,2.105853151153188918e+01,2.140154181581212356e+01,2.190072710052466931e+01
5.599999999999999645e+00,2.868293199237962227e-14,5.698328615749703817e-09,5.709629914960798664e-09,2.080836526196721792e+01,2.115137969221031256e+01,2.165056516768073891e+01
5.650000000000000355e+00,3.218238819025085367e-14,7.173568404907072773e-09,7.187939950034093366e-09,2.055803190374302858e+01,2.090104832079188668e+01,2.140023098395558776e+01
5.700000000000000178e+00,3.610874143514459549e-14,9.030544253818008695e-09,9.048998084815006979e-09,2.030748127409639636e+01,2.065049589442177336e+01,2.114967046195834399e+01
5.750000000000000000e+00,4.051405484706037887e-14,1.136797360053563697e-08,1.139189747148600311e-08,2.005659095036809703e+01,2.039960538162823411e+01,2.089876617348080146e+01
5.799999999999999822e+00,4.545673742522254320e-14,1.431005073634623675e-08,1.434138522571831203e-08,1.980530947319617496e+01,2.014832546146354275e+01,2.064746469010493257e+01
5.849999999999999645e+00,5.100231660681463789e-14,1.801311828626839508e-08,1.805450266600790658e-08,1.955348524335760629e+01,1.989651312943391304e+01,2.039562337437421746e+01
5.900000000000000355e+00,5.722430463774025051e-14,2.267390815802630032e-08,2.272894498759684716e-08,1.930099580203988552e+01,1.964405209175978939e+01,2.014312594177851423e+01
5.950000000000000178e+00,6.420517008462918446e-14,2.853987548950714228e-08,2.861358417490846258e-08,1.904780684892260467e+01,1.939090711145135515e+01,1.988993611659196858e+01
6.000000000000000000e+00,7.203742716927093721e-14,3.592240480545989396e-08,3.602171529077318421e-08,1.879379063561798091e+01,1.913695576123684106e+01,1.963593267539869203e+01
6.049999999999999822e+00,8.082485711571657303e-14,4.521309872620957436e-08,4.534773059406165745e-08,1.853886862703804894e+01,1.888211906511614302e+01,1.938103897237051143e+01
6.099999999999999645e+00,9.068387738359944368e-14,5.690473443212539250e-08,5.708810782421364052e-08,1.828280553562370159e+01,1.862617143049852331e+01,1.912503878912848876e+01
6.150000000000000355e+00,1.017450765374748516e-13,7.161719644892571002e-08,7.186782969346958678e-08,1.802531379407922429e+01,1.836883595757048226e+01,1.886766602356897238e+01
6.200000000000000178e+00,1.141549345915114398e-13,9.012995420764033879e-08,9.047363823241388014e-08,1.776606369985986333e+01,1.810978928494802886e+01,1.860859970316375467e+01
