# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,sdss_g,sdss_r
5.500000000000000000e+00,1.077674830292275110e-14,1.700617825398776945e-09,1.703979218128409341e-09,2.246443881782123242e+01,2.296362394119323369e+01
5.549999999999999822e+00,1.209164382111833605e-14,2.140941581852166847e-09,2.145174836460700126e-09,2.221441282704850551e+01,2.271359811166699672e+01
5.599999999999999645e+00,1.356696360057369280e-14,2.695258520461090409e-09,2.700603936545173192e-09,2.196424734928595512e+01,2.246343282440318490e+01
5.650000000000000355e+00,1.522227789349324856e-14,3.393045642656763092e-09,3.399843263245380849e-09,2.171391222136036703e+01,2.221309488592657999e+01
5.700000000000000178e+00,1.707954372716195611e-14,4.271398220141736453e-09,4.280126723752782423e-09,2.146335571863978231e+01,2.196253028968006049e+01
5.750000000000000000e+00,1.916339583504979814e-14,5.377013063361356582e-09,5.388328972160403343e-09,2.121246027468905737e+01,2.171162106654519874e+01
5.799999999999999822e+00,2.150147300934529411e-14,6.768638965034671841e-09,6.783460049189011115e-09,2.096117525436250872e+01,2.146031448695057975e+01
5.849999999999999645e+00,2.412478417691661326e-14,8.520232807899248234e-09,8.539807595088741426e-09,2.070935686520980568e+01,2.120846711308059440e+01
5.900000000000000355e+00,2.706811902042758738e-14,1.072485976899781002e-08,1.075089230036811211e-08,2.045688920635410568e+01,2.095596305956338767e+01
5.950000000000000178e+00,3.037050854813727774e-14,1.349958199112952443e-08,1.353444649140321349e-08,2.020373687296277865e+01,2.070276588379356042e+01
6.000000000000000000e+00,3.407574166701354606e-14,1.699170763214677009e-08,1.703868212895489898e-08,1.994977732935678461e+01,2.044875425159692384e+01
6.049999999999999822e+00,3.823294454220752465e-14,2.138649839813328541e-08,2.145018068706320280e-08,1.969493125614710749e+01,2.019385117157241893e+01
6.099999999999999645e+00,4.289723034055707684e-14,2.691708737844625419e-08,2.700382549639596788e-08,1.943897328700976601e+01,1.993784065692110374e+01
6.150000000000000355e+00,4.813042786643267573e-14,3.387675101121059644e-08,3.399530481931288611e-08,1.918162641405966440e+01,1.968045649132122321e+01
6.200000000000000178e+00,5.400189861575726545e-14,4.263428080293100529e-08,4.279685069725239029e-08,1.892256695059120375e+01,1.942137737953260057e+01
6.250000000000000000e+00,6.058945291036933476e-14,5.365325764417575942e-08,5.387705040646062087e-08,1.866136564433728040e+01,1.916015359593974665e+01
6.299999999999999822e+00,6.798037704316454332e-14,6.751612266185881274e-08,6.782578641057573515e-08,1.839720030981574439e+01,1.889590809008413430e+01
6.349999999999999645e+00,7.627258477902407621e-14,8.495427497753882952e-08,8.538562630495786853e-08,1.812840022561829301e+01,1.862687505324988990e+01
6.400000000000000355e+00,8.557590813307120882e-14,1.068853282224598951e-07,1.074913382958388975e-07,1.785351013261640674e+01,1.835143953777888726e+01
6.450000000000000178e+00,9.601354410331851876e-14,1.344596213418611766e-07,1.353196274664888575e-07,1.757206008845915335e+01,1.806895180513257770e+01
6.500000000000000000e+00,1.077236759876659151e-13,1.691192562812046908e-07,1.703517384821598914e-07,1.728199496541669333e+01,1.777720446209004734e+01
6.549999999999999822e+00,1.208612900852138753e-13,2.126707777070085782e-07,2.144522518491392311e-07,1.698484843535290167e+01,1.747735935775138216e+01
6.599999999999999645e+00,1.356002109900244223e-13,2.673725376967215338e-07,2.699682584268244635e-07,1.668386718969754412e+01,1.717152464899276509e+01
6.650000000000000355e+00,1.521353813539743214e-13,3.360336480134672649e-07,3.398541785338342871e-07,1.638088256293853817e+01,1.686237964403197509e+01
6.700000000000000178e+00,1.706854149473591997e-13,4.222034130861430933e-07,4.278288545330152935e-07,1.608250384331486771e+01,1.655697310472056216e+01
6.750000000000000000e+00,1.914954551051929821e-13,5.303364875385047280e-07,5.385732503412661547e-07,1.579477919961168197e+01,1.626147686091739786e+01
6.799999999999999822e+00,2.148403742375677888e-13,6.659526673504588139e-07,6.779792476356770593e-07,1.551391052928030234e+01,1.596956321258851119e+01
6.849999999999999645e+00,2.410283540273550354e-13,8.359205298767691474e-07,8.534627284093244001e-07,1.523732803286220161e+01,1.567756238649945999e+01
6.900000000000000355e+00,2.704048902597083122e-13,1.048827584272197346e-06,1.074357534743375114e-06,1.496560683225751376e+01,1.538568460441216956e+01
6.950000000000000178e+00,3.033572709442865279e-13,1.315391343910911913e-06,1.352411171120737702e-06,1.470493920349326800e+01,1.509959560740313123e+01
7.000000000000000000e+00,3.403195815173289498e-13,1.648991078318313331e-06,1.702408481863513619e-06,1.445908842233836111e+01,1.482777586633973499e+01
7.049999999999999822e+00,3.817782964542900448e-13,2.066344309848089329e-06,2.142956287232433461e-06,1.422564109468289217e+01,1.457009309945183873e+01
