# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,SDSS_u,SDSS_g,SDSS_r
5.500000000000000000e+00,9.996845555433802483e-10,3.155542876057804537e-04,3.161780032180248803e-04,8.950261108304260915e+00,9.293270421255563463e+00,9.792455544627571840e+00
5.549999999999999822e+00,9.996459828359651938e-10,3.540474513678805381e-04,3.547507106329904174e-04,8.824858704588862679e+00,9.167881553526925131e+00,9.667068879919483493e+00
5.599999999999999645e+00,9.996027053182175144e-10,3.972203569375688521e-04,3.980282283807901143e-04,8.698987825749341596e+00,9.042019584596218351e+00,9.541201796410831548e+00
5.650000000000000355e+00,9.995541493751204747e-10,4.456337756281181770e-04,4.465841714777974347e-04,8.572906902854455780e+00,8.915920788194348745e+00,9.415080306727460879e+00
5.700000000000000178e+00,9.994996715187609801e-10,4.999315608836283958e-04,5.010620278372611772e-04,8.446137166223458337e+00,8.789146192238909805e+00,9.288274523551152129e+00
5.750000000000000000e+00,9.994385498932694719e-10,5.608256860859470996e-04,5.621836533287537891e-04,8.318697676548580944e+00,8.661712183936479903e+00,9.160797285363592835e+00
5.799999999999999822e+00,9.993699747511547333e-10,6.291163570576350714e-04,6.307587954436856721e-04,8.190469322859122769e+00,8.533507198877920530e+00,9.032536752774632305e+00
5.849999999999999645e+00,9.992930377775783486e-10,7.057112718191095721e-04,7.076957690198914337e-04,8.060974716297451437e+00,8.404089169974163553e+00,8.903059408476600822e+00
5.900000000000000355e+00,9.992067201245861953e-10,7.916022884710489970e-04,7.940134220121220681e-04,7.930605621035120123e+00,8.273815021850012386e+00,8.772714230878847275e+00
5.950000000000000178e+00,9.991098790011344936e-10,8.879125985176527895e-04,8.908545454639114035e-04,7.799166300931950957e+00,8.142498608575998276e+00,8.641319253382476973e+00
6.000000000000000000e+00,9.990012326467933570e-10,9.958943441612526544e-04,9.995008998049254023e-04,7.666517300792392575e+00,8.010000071856680393e+00,8.508739952909721183e+00
