# log_age,stellar_mass,formed_mass,SDSS_g,SDSS_r
5.500000000000000000e+00,1.579247597336838290e-04,1.582369093132481193e-04,1.004483007303334574e+01,1.054401519640534701e+01
5.549999999999999822e+00,1.771910579195210044e-04,1.775430197887848728e-04,9.919430766412226319e+00,1.041861809262376681e+01
5.599999999999999645e+00,1.988000676931120283e-04,1.992043886136566613e-04,9.793557122444198626e+00,1.029273933458325274e+01
5.650000000000000355e+00,2.230326311560724896e-04,2.235082859733705015e-04,9.667445242957676044e+00,1.016660476407048463e+01
5.700000000000000178e+00,2.502112229430804671e-04,2.507770045981571835e-04,9.540656035420809644e+00,1.003978437250855649e+01
5.750000000000000000e+00,2.806924772532849353e-04,2.813721254672552400e-04,9.413205696938646838e+00,9.912290808958516664e+00
5.799999999999999822e+00,3.148772706824223594e-04,3.156993020158745632e-04,9.284982476048263322e+00,9.784012047134979184e+00
5.849999999999999645e+00,3.532203834863487514e-04,3.542136255982097155e-04,9.155544143239680466e+00,9.654514406302737939e+00
5.900000000000000355e+00,3.962188521035522621e-04,3.974256424807470680e-04,9.025247310781011834e+00,9.524146554092794759e+00
5.950000000000000178e+00,4.444356118389739853e-04,4.459081010494811881e-04,8.893905591912719899e+00,9.392726282474107791e+00
6.000000000000000000e+00,4.984983502633290797e-04,5.003035173027490417e-04,8.761378839574803123e+00,9.260118778834034003e+00
6.049999999999999822e+00,5.591111337480225794e-04,5.613326571829884738e-04,8.627376589851458277e+00,9.126055379424144576e+00
6.099999999999999645e+00,6.270728399523161451e-04,6.298040459923998600e-04,8.491149341901220282e+00,8.989820634029115354e+00
6.150000000000000355e+00,7.032630607948525290e-04,7.066246281680104357e-04,8.352321961280750884e+00,8.851036926152055173e+00
6.200000000000000178e+00,7.886585697055054512e-04,7.928117152053627435e-04,8.210327503749304867e+00,8.709076695980826344e+00
6.250000000000000000e+00,8.843395787591127287e-04,8.895063756658600504e-04,8.064059068730429658e+00,8.562683196729764745e+00
6.299999999999999822e+00,9.915006060001387185e-04,9.979884391527193976e-04,7.909743358706627703e+00,8.407903825295321099e+00
6.349999999999999645e+00,1.111453492467729450e-03,1.119693306055066220e-03,7.743327097862234609e+00,8.240361554072819672e+00
6.400000000000000355e+00,1.245619474276182673e-03,1.256230776943191530e-03,7.569334247500442814e+00,8.064308037303845822e+00
6.450000000000000178e+00,1.395590941773264563e-03,1.409406139929389240e-03,7.382954507472696548e+00,7.874704286453450663e+00
6.500000000000000000e+00,1.563128568023806160e-03,1.581243781292674191e-03,7.185986763561849955e+00,7.673886431908435668e+00
6.549999999999999822e+00,1.750212259330645621e-03,1.774013614406376319e-03,6.994878931681462575e+00,7.473756292135306012e+00
6.599999999999999645e+00,1.958471177453903391e-03,1.990260654701483771e-03,6.807077805450376218e+00,7.274720595860749484e+00
6.650000000000000355e+00,2.190475719568839297e-03,2.232838104226102151e-03,6.631075098544485513e+00,7.088700613291372576e+00
6.700000000000000178e+00,2.449977314161536079e-03,2.504944348505410128e-03,6.490772165572799679e+00,6.939139769663228208e+00
6.750000000000000000e+00,2.739324695902164899e-03,2.810164310979718517e-03,6.363856491035875251e+00,6.796456356723794556e+00
6.799999999999999822e+00,3.060649196152569369e-03,3.152515656394193171e-03,6.227739073638637990e+00,6.633064065414018273e+00
6.849999999999999645e+00,3.417528680516188511e-03,3.536500384127552830e-03,6.090579093409587585e+00,6.463542526139981703e+00
6.900000000000000355e+00,3.814079810294113658e-03,3.967162405483958681e-03,5.974369375372013735e+00,6.303779198428607344e+00
6.950000000000000178e+00,4.254595995161882492e-03,4.450151755169982383e-03,5.897177967303704804e+00,6.184171846426380625e+00
7.000000000000000000e+00,4.744106986145361221e-03,4.991796146114586309e-03,5.839146988699653207e+00,6.098644989449702791e+00
7.049999999999999822e+00,5.288250660715683102e-03,5.599180637736965276e-03,5.780859880324932476e+00,6.020341731885793024e+00
7.099999999999999645e+00,5.893062244921995138e-03,6.280236249701768615e-03,5.722418627154723936e+00,5.947581790602470164e+00
7.150000000000000355e+00,6.565328181878198749e-03,7.043838414627409845e-03,5.667075629011684157e+00,5.882078804148321183e+00
7.200000000000000178e+00,7.312898996094977302e-03,7.899916222079288869e-03,5.616255822206596804e+00,5.822031450007322917e+00
7.250000000000000000e+00,8.144247627165427522e-03,8.859573459703531245e-03,5.569418822555995519e+00,5.766062649078634195e+00
7.299999999999999822e+00,9.068647053515942538e-03,9.935222501836227585e-03,5.525665969743457140e+00,5.714625420915957932e+00
7.349999999999999645e+00,1.009684028754746603e-02,1.114073212646750702e-02,5.482759799697518588e+00,5.665223335076490230e+00
7.400000000000000355e+00,1.124052435429119881e-02,1.249159035173534431e-02,5.439806661976348323e+00,5.615807491579118960e+00
7.450000000000000178e+00,1.251221410987792167e-02,1.400508336498029055e-02,5.397085654849384184e+00,5.566704229125228665e+00
7.500000000000000000e+00,1.392582498638474803e-02,1.570049156039707988e-02,5.355160706474748622e+00,5.519411067880277244e+00
7.549999999999999822e+00,1.549774270797077760e-02,1.759930359226357516e-02,5.313043191362531559e+00,5.472934924674468959e+00
7.599999999999999645e+00,1.724613358629353485e-02,1.972544917299545036e-02,5.269362406187497072e+00,5.424938088303640882e+00
7.650000000000000355e+00,1.918998419962374136e-02,2.210555107815721440e-02,5.224323676616663192e+00,5.375760816573560419e+00
