# log_age,stellar_mass,formed_mass,SDSS_u,SDSS_g,SDSS_r
5.500000000000000000e+00,6.709798712150936799e-05,6.723061109070145667e-05,1.063117259234915934e+01,1.097418190530046900e+01,1.147336702867247027e+01
5.549999999999999822e+00,7.528415530427979153e-05,7.543369527491772502e-05,1.050575348790336250e+01,1.084877633506179961e+01,1.134796366116472655e+01
5.599999999999999645e+00,8.446584479926121125e-05,8.463763175005015052e-05,1.037986392962642412e+01,1.072289568571694929e+01,1.122207789805062816e+01
5.650000000000000355e+00,9.476242736679136810e-05,9.496452345370001648e-05,1.025376207014120666e+01,1.059677595593262822e+01,1.109593547859320495e+01
5.700000000000000178e+00,1.063109767270801597e-04,1.065513670828823373e-04,1.012696895374828188e+01,1.046997798088187182e+01,1.096910632143479347e+01
5.750000000000000000e+00,1.192630973560661068e-04,1.195518691003270595e-04,9.999503336208547921e+00,1.034251784357943649e+01,1.084160296195472739e+01
5.799999999999999822e+00,1.337892127909388841e-04,1.341384829870180377e-04,9.871245809762427825e+00,1.021428368029221900e+01,1.071331326169256926e+01
5.849999999999999645e+00,1.500826761520454632e-04,1.505046946528156915e-04,9.741718734634027044e+00,1.008483316401193974e+01,1.058380344181095012e+01
5.900000000000000355e+00,1.683548289686293443e-04,1.688675861701536835e-04,9.611313366807223701e+00,9.954522719530288555e+00,1.045342198341129603e+01
5.950000000000000178e+00,1.888450549884298374e-04,1.894707116576513340e-04,9.479833589401607696e+00,9.823165815515253030e+00,1.032198653352899953e+01
6.000000000000000000e+00,2.118203047263277907e-04,2.125873232227291291e-04,9.347139485293993744e+00,9.690622131557653063e+00,1.018936210574011625e+01
6.049999999999999822e+00,2.375800494442024339e-04,2.385239894588641869e-04,9.212932415405902020e+00,9.556601044544876800e+00,1.005527987383302246e+01
6.099999999999999645e+00,2.664641307903638386e-04,2.676246541192679176e-04,9.076418867044935723e+00,9.420352947518921383e+00,9.919024275705673688e+00
6.150000000000000355e+00,2.988467945762195632e-04,3.002751883266174511e-04,8.937226042015680605e+00,9.281502537061257385e+00,9.780217525541331725e+00
6.200000000000000178e+00,3.351437156697649185e-04,3.369084961033257586e-04,8.794809576027077469e+00,9.139482727642771920e+00,9.638231933860957668e+00
6.250000000000000000e+00,3.758146923780066300e-04,3.780102401811241968e-04,8.648115605005429529e+00,8.993186598653316821e+00,9.491810768253927222e+00
6.299999999999999822e+00,4.213683084323503877e-04,4.241252630841054676e-04,8.493494021719243392e+00,8.838841536435758428e+00,9.337002156780343398e+00
6.349999999999999645e+00,4.723632710154800811e-04,4.758647874445214227e-04,8.327134535738998977e+00,8.672395114297955843e+00,9.169430014958294350e+00
6.400000000000000355e+00,5.294051121340653159e-04,5.339144895299463350e-04,8.153636507478807971e+00,8.498369627077650534e+00,8.993344416922802509e+00
6.450000000000000178e+00,5.931725140240611547e-04,5.990435511464893992e-04,7.968759134369946651e+00,8.311956236066485815e+00,8.803707911971926592e+00
6.500000000000000000e+00,6.644161993801007840e-04,6.721148075494676405e-04,7.776399613081345308e+00,8.114952561074623816e+00,8.602855164303534252e+00
6.549999999999999822e+00,7.439807134505241250e-04,7.540961229042597927e-04,7.601264532114100803e+00,7.923799871424847652e+00,8.402683249306001301e+00
6.599999999999999645e+00,8.325624302126099097e-04,8.460731403144450963e-04,7.439373206288443896e+00,7.735945783550967292e+00,8.203598348379223637e+00
6.650000000000000355e+00,9.312586383027437976e-04,9.492635706674738827e-04,7.292175751717024923e+00,7.559876707423811126e+00,8.017515301139660266e+00
