# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,sdss_g,sdss_r
5.500000000000000000e+00,1.647515972210659420e-10,5.199742971403935272e-05,5.210020635179414458e-05,1.125100094374845838e+01,1.175018606712046676e+01
5.549999999999999822e+00,1.647506890745610814e-10,5.834134610949177739e-05,5.845723188579991537e-05,1.112559418041635695e+01,1.162478150649859288e+01
5.599999999999999645e+00,1.647496701233828061e-10,6.545676396020984941e-05,6.558989013372863296e-05,1.099971219668236699e+01,1.149889440905313620e+01
5.650000000000000355e+00,1.647485268488590925e-10,7.343619744229865521e-05,7.359281179960753996e-05,1.087359097156585364e+01,1.137275049452127007e+01
5.700000000000000178e+00,1.647472440831900827e-10,8.238588080531210095e-05,8.257217148289732129e-05,1.074679132646451762e+01,1.124591966767751217e+01
5.750000000000000000e+00,1.647458048083271317e-10,9.242331142499877789e-05,9.264709552351583729e-05,1.061932932266022789e+01,1.111841444224604913e+01
5.799999999999999822e+00,1.647441899303389264e-10,1.036805736625441815e-04,1.039512414408954558e-04,1.049109307503029953e+01,1.099012265839515123e+01
5.849999999999999645e+00,1.647423780262792250e-10,1.163075251465081031e-04,1.166345698589073173e-04,1.036164023799541667e+01,1.086061051860129112e+01
5.900000000000000355e+00,1.647403450602103250e-10,1.304679687341991912e-04,1.308653323411854163e-04,1.023132720062675105e+01,1.073022646842571248e+01
5.950000000000000178e+00,1.647380640646298298e-10,1.463474449672646810e-04,1.468323014045896881e-04,1.009996740404935878e+01,1.059878812729211717e+01
6.000000000000000000e+00,1.647355047830925908e-10,1.641528653516903253e-04,1.647472721651657571e-04,9.967420494829724475e+00,1.046616047566421770e+01
6.049999999999999822e+00,1.647326332693107472e-10,1.841163535271901717e-04,1.848478686381222608e-04,9.833395819524703541e+00,1.033207465637774192e+01
6.099999999999999645e+00,1.647294114374430015e-10,2.065013310111248892e-04,2.074006917124019832e-04,9.697143750939552831e+00,1.019581508599489439e+01
6.150000000000000355e+00,1.647257965576451663e-10,2.315978971198376986e-04,2.327048502972068039e-04,9.558288953461740789e+00,1.005700394643921669e+01
6.200000000000000178e+00,1.647217406902374214e-10,2.597282770891588322e-04,2.610959221513806257e-04,9.416264314633210120e+00,9.915013523516144289e+00
6.250000000000000000e+00,1.647171900510421047e-10,2.912489153850552183e-04,2.929503965186994858e-04,9.269962909995598466e+00,9.768587087520515411e+00
6.299999999999999822e+00,1.647120842995483953e-10,3.265540951135734887e-04,3.286906569747019341e-04,9.115612256092752830e+00,9.613772905722754558e+00
6.349999999999999645e+00,1.647063557405572653e-10,3.660769832250172556e-04,3.687905699127244597e-04,8.949160087955895904e+00,9.446195073268711440e+00
6.400000000000000355e+00,1.646999284288358082e-10,4.102870845626141374e-04,4.137817519629037838e-04,8.775128382985315056e+00,9.270103363305778998e+00
6.450000000000000178e+00,1.646927171650569508e-10,4.597106553336520376e-04,4.642605984146496779e-04,8.588708580737161924e+00,9.080460617948126867e+00
6.500000000000000000e+00,1.646846263698970383e-10,5.149298594082106278e-04,5.208961645342824335e-04,8.391698059922774178e+00,8.879601222169810626e+00
6.549999999999999822e+00,1.646755488215975141e-10,5.765996682180437368e-04,5.844390026308225001e-04,8.200536823870280045e+00,8.679421347895633687e+00
6.599999999999999645e+00,1.646653642405508924e-10,6.452603540220157351e-04,6.557310699572191631e-04,8.012672645554644646e+00,8.480327072158168278e+00
6.650000000000000355e+00,1.646539377025187680e-10,7.217630262496763094e-04,7.357168361819484180e-04,7.836590924715643780e+00,8.294232009701843822e+00
6.700000000000000178e+00,1.646411178599193402e-10,8.073489070770631425e-04,8.254557343781189754e-04,7.696175810141689055e+00,8.144563082902834594e+00
6.750000000000000000e+00,1.646267349482003087e-10,9.027989603535784653e-04,9.261361164111038850e-04,7.569127991387148313e+00,8.001757538230791056e+00
6.799999999999999822e+00,1.646105985516230048e-10,1.008824405878793211e-03,1.039090892452440833e-03,7.432873721490665275e+00,7.838248390021504974e+00
6.849999999999999645e+00,1.645924950997899540e-10,1.126615034546984712e-03,1.165815055283618996e-03,7.295563553661658318e+00,7.668601885415583297e+00
6.900000000000000355e+00,1.645721850629315339e-10,1.257540983906748960e-03,1.307985313292630344e-03,7.179161966242816106e+00,7.508687017386975526e+00
6.950000000000000178e+00,1.645493998102848397e-10,1.403034244092652393e-03,1.467482081819417332e-03,7.101705937330955010e+00,7.388860522156420529e+00
7.000000000000000000e+00,1.645238380918311584e-10,1.564773807191465133e-03,1.646414110995264969e-03,7.043353711426426855e+00,7.303045236597746737e+00
7.049999999999999822e+00,1.644951620991614420e-10,1.744644612787701931e-03,1.847146059683388037e-03,6.984712801108173608e+00,7.224413549355006126e+00
7.099999999999999645e+00,1.644629930562892876e-10,1.944669556885348163e-03,2.072329359788443754e-03,6.925880643618896215e+00,7.151280949015060173e+00
7.150000000000000355e+00,1.644269062857885803e-10,2.167127741548344460e-03,2.324936753293336232e-03,6.870096097577018668e+00,7.085349397429958174e+00
7.200000000000000178e+00,1.643864256896713078e-10,2.414659725696105194e-03,2.608300926114253890e-03,6.818772411454993687e+00,7.024813127360786780e+00
7.250000000000000000e+00,1.643410175779118646e-10,2.690124891989253194e-03,2.926157708430315255e-03,6.771361280469136545e+00,6.968289365271452596e+00
7.299999999999999822e+00,1.642900837704476143e-10,2.996663289320724601e-03,3.282694360679992446e-03,6.726957287877624481e+00,6.916219255930307952e+00
7.349999999999999645e+00,1.642329538908275625e-10,3.337920549379756394e-03,3.682603518020497596e-03,6.683322411181450207e+00,6.866105636155360514e+00
7.400000000000000355e+00,1.641688767614460274e-10,3.717883404590665609e-03,4.131143423691226516e-03,6.639557698501405980e+00,6.815898857885258622e+00
7.450000000000000178e+00,1.640970108015034789e-10,4.140841359677892644e-03,4.634205143289009746e-03,6.595930422017183048e+00,6.765913539973453794e+00
7.500000000000000000e+00,1.640164133195260767e-10,4.611586733610809237e-03,5.198387517130906299e-03,6.552988809551102634e+00,6.717625501660741349e+00
7.549999999999999822e+00,1.639260285825288965e-10,5.135777220411938924e-03,5.831080676111197181e-03,6.509738651475522886e+00,6.670034997834200396e+00
7.599999999999999645e+00,1.638246745338442271e-10,5.719722098859829178e-03,6.540559016903911907e-03,6.464807636238575128e+00,6.620809023797363579e+00
7.650000000000000355e+00,1.637110280214366908e-10,6.370081660528502214e-03,7.336084603756569573e-03,6.418386307781133837e+00,6.570271954344711673e+00
7.700000000000000178e+00,1.635836083884454963e-10,7.094218350594912702e-03,8.228022034694941131e-03,6.370679677486080550e+00,6.518833175127745960e+00
7.750000000000000000e+00,1.634407592680808728e-10,7.900330967283531597e-03,9.227965877247303744e-03,6.322231963571972813e+00,6.466895254436067830e+00
7.799999999999999822e+00,1.632806284163329573e-10,8.797539962494098364e-03,1.034888183948270805e-02,6.274185664051131539e+00,6.414936102391550321e+00
7.849999999999999645e+00,1.631011454088547937e-10,9.795898198666632556e-03,1.160526289182987024e-02,6.227126196998682417e+00,6.363297301661908989e+00
7.900000000000000355e+00,1.628999970236883259e-10,1.090651314305617937e-02,1.301330158799524073e-02,6.181241775607624334e+00,6.312688081936755680e+00
7.950000000000000178e+00,1.626746001302866963e-10,1.214192991360169178e-02,1.459107984180657049e-02,6.136179097133421578e+00,6.262910342992014989e+00
8.000000000000000000e+00,1.624220719089336963e-10,1.351611823104829045e-02,1.635877739127753958e-02,6.091317936922528986e+00,6.213212509861449462e+00
8.050000000000000711e+00,1.621391972349362159e-10,1.504425372056011380e-02,1.833890010925982167e-02,6.046765838945283633e+00,6.163813136019889782e+00
8.099999999999999645e+00,1.618223930811051318e-10,1.674306521578440565e-02,2.055652918607757743e-02,6.002722832886696835e+00,6.115135624815316362e+00
8.150000000000000355e+00,1.614676698228501453e-10,1.862964088927928155e-02,2.303959199386238291e-02,5.959233326553174948e+00,6.067251680384046608e+00
8.199999999999999289e+00,1.610705893761963304e-10,2.072241588266506354e-02,2.581915512043900240e-02,5.916337872032222833e+00,6.020176588988022104e+00
8.250000000000000000e+00,1.606262201645121433e-10,2.304343059594630289e-02,2.892973960222834651e-02,5.874088122389416355e+00,5.973892741075601975e+00
8.300000000000000711e+00,1.601290890000383650e-10,2.562015149802642985e-02,3.240965775354492928e-02,5.832392512531512807e+00,5.928157170540778509e+00
8.349999999999999645e+00,1.595731300878812534e-10,2.848283984187470821e-02,3.630137013864456752e-02,5.791307359312227732e+00,5.882974225057374440e+00
